SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
sn1994d.p03_binned.txt,Sb,SLSN-I/2012il/ALFOSC phase-band : -22.0g,nan,nan,-1.0,0.6,-22.0,g,nan,nan,-inf,inf
sn1994d.p03_binned.txt,Sb,SLSN-I/2012il/X-Shooter phase-band : 25.0g,nan,nan,-1.0,0.6,25.0,g,nan,nan,-inf,inf
sn1994d.p03_binned.txt,Sb,SLSN-I/2015bn/EFOSC2-NTT phase-band : -20.66B,nan,nan,-1.0,0.8,-20.66,B,nan,nan,-inf,inf
sn1994d.p03_binned.txt,Sb,SLSN-I/2015bn/EFOSC2-NTT phase-band : -27.16B,nan,nan,-1.0,0.6,-27.16,B,nan,nan,-inf,inf
sn1994d.p03_binned.txt,Sb,SLSN-I/2015bn/EFOSC2-NTT phase-band : -28.66B,nan,nan,-1.0,0.6,-28.66,B,nan,nan,-inf,inf
sn1994d.p03_binned.txt,Sb,SLSN-I/2015bn/SPRAT phase-band : -16.66B,nan,nan,-1.0,0.8,-16.66,B,nan,nan,-inf,inf
sn1994d.p03_binned.txt,Sb,SLSN-I/PTF12dam/KAST phase-band : -22.0B,nan,nan,-1.0,0.6,-22.0,B,nan,nan,-inf,inf
sn1994d.p03_binned.txt,Sb,SLSN-I/PTF12dam/LRIS phase-band : -21.0B,nan,nan,-1.0,0.6,-21.0,B,nan,nan,-inf,inf
sn1994d.p03_binned.txt,Sb,SLSN-I/PTF12dam/OSIRIS phase-band : -19.0B,nan,nan,-1.0,0.6,-19.0,B,nan,nan,-inf,inf
sn1994d.p03_binned.txt,Sa,SLSN-Ib/2010md/KAST phase-band : 15.0B,nan,nan,-1.0,-2.0,15.0,B,nan,nan,-inf,inf
